JUDGMENT,Summarized_text,Labels,Scores
" O R D E R Delay condoned. Leave granted. This appeal  by special  leave arises from the judgment of the  Division Bench  of the  Kerala High  Court, made  on 30,11,1990 in  writ Appeal No. 767/86 reversing the judgment of the learned single judge. The  admitted  position  is  that  the  respondent  was appointed as  an agent  the National  savings scheme  called Mahila Pradhan  kshetriya Bachat  Yojana as  per order dated 7th August,  1976 under  which the respondent was working as an agent,  the agency was terminated by order dated 2.8.1994 on the  employee working  in the  post office (brother) and, therefore, agency  was not  validly created.  The respondent challenged that  order by filing a writ petition in the High court sand  also the circular dated 5.1.1981 on the basis of which the said order was passed. The circular was challenged on the  ground that it was discriminatory and arbitrary. The High   court   found   that   the   circular   was   neither discriminatory nor  arbitrary and,  therefore, dismissed the writ petition, Feeling single Judge, the respondent filed an appeal in  the High  Court. The  Division Bench  allowed the appeal. We are clearly of the opinion that the view taken by the Division  Bench that mere existence of near relations in the division is not enough for terminating the agency is not correct, in  view of  the clear policy of the Government and the  Government   instructions  directing   that   no   near relations,  namely,   legitimate   child,   or   step-child, father/step-father,       mother/step-mother,       husband, brother/step-brother,   sister/step-sister,   father-in-law, mohter-in-law,  brother-in-law,   sister-in-law,  so-in-law, daughter-in-law, as  defined under  the  scheme,  should  be appointed as  an agent  at the  place of  work by  the post- master. But  as the  respondent has  been working right from 1976 and  as no  clear finding  has  been  recorded  by  the authority establishing  breach of  the said instructions, we do not think that this is a care warranting interference. It will  be   open  to   appellants  to  have  the  post-master transferred to any other place. Though we find that the view taken by  the High  Court is  not correct,  in view  of  the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 peculiar facts  of this  case, the appointment of respondent is not disturbed. The appeal  is disposed  disposed  of  accordingly.  No costs. IN THE MATTER OF :","The appeal  by special leave arises from the judgment of the Division Bench of the Kerala High Court, made on 30,11,1990 in writ Appeal No. 767/86. The admitted position is that the respondent was appointed as an agent  the National savings scheme called Mahila Pradhan  kshetriya Bachat  Yojana. The agency was terminated by order dated 2.8.1994 on the employee working  in the post office (brother) and, therefore, agency was not  validly created. The respondent challenged that  order by filing a writ petition in the High court sand also the circular dated 5.1.1981 on the basis of which the said order was passed. The circular was challenged on the  ground that it was discriminatory and arbitrary.",special leave petitions,40.27
" JUDGMENT O R D E R WRIT PETITION (CRL.) NO.129 OF 2005 WITH WRIT PETITION (CRL.) NO.133 OF 2005 SURAM CHAND                                Petitioner(s) Versus UNION OF INDIA & ORS.                      Respondent(s) WRIT PETITION (CRL) NO.129 OF 2005 AND WRIT PETITION (CRL) NO.133 OF 2005 We have heard learned counsels for the parties. Delay condoned. As per directions given by this Court on 13th February, 2008, learned counsel appearing on behalf of the Union of India and Jammu & Kashmir submits that so far as  Zamir Ahmed Khan and Zafar Ali are concerned, they have already been deported on 16th January, 2008. ...2/- -2- So far as Nasrullah Mansoor @ Nasul Mansoor is concerned, he was facing trial in four cases, out of which three cases have been disposed of.  In two cases, he has been convicted and in one, he has been acquitted.  Fourth case is still pending under the Foreigners’ Act as well as the Passport Act in which arguments have already been heard on 20th February, 2008.  This incumbent is behind the bars since 1993, almost from the last 15 years.  As soon as the decision is delivered in the fourth case, necessary steps be taken forthwith for his deportation in accordance with law. So far as Abdul Qadeer is concerned, we have been informed that a reminder has been sent to the Tajikistan Embassy and a copy of the same has already been given to Mr. Bheem Singh, learned counsel appearing on behalf of the petitioner. He submits that he has already spoken to the First Secretary of the Tajikistan Embassy and they say that they have received the communication and they are taking necessary steps for deportation of Abdul Qadeer. Therefore, nothing more remains for the State or for the Union of India to take any steps in these petitions. ...3/- -3- http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 In this view of the matter, Writ Petition (Crl.) No.129 of 2005 and Writ Petition No. 133 of 2005 are disposed of.","Nasrullah Mansoor was facing trial in four cases, out of which three cases have been disposed of. Fourth case is still pending under the Foreigners’ Act as well as the Passport Act in which arguments have already been heard.",transfer,36.87
" O R D E R The submission of learned counsel for the petitioner is that there  is non-compliance  of Section 50 of the narcotic Drugs and  psychotropic Substances Act, 1985 (for short ""the N.D.P.S.  Act"")   which  renders   the  conviction   of  the petitioner illegal.  The learned  counsel submitted, placing reliance on  the decision  of this  Court  in  Saiyad  Mohd. Saiyad Umar  Saiyad and Ors. vs. State of Gujarat, (1995 (3) SCC 610), that the burden is on the prosecution to prove due compliance  of  Section  50  of  the  N.D.P.S.  Act.  It  is sufficient to  say that  in the present case, the High Court has gone  into this  question and  recorded a  clear finding that there  was compliance of Section 50 of the N.D.P.s. Act inasmuch as  the accused  was given  the option specified in the provision  and on  exercise of  the at option by him, he was searched in the presence of a Gazetted Officer. Learned counsel  or the  petitioner  further  submitted that another  requirement of  Section 50 of the N.D.P.S. Act is that  the accused  should also  be given  the  option  to choose whether he wanted to be searched in the presence of a Gazetted Officer  or in  the presence of a magistrate. It is submitted that  this further  option was  not given  to  the petitioner in the present case. We are unable to accept such a construction  of  Section  50  of  the  N.D.P.S.  Act,  he provision only  requires the  option  to  be  given  to  the accused to  say whether  he would like to be searched in the present of  a Gazetted  Officer  of  a  Magistrate;  and  on exercise of  that option  by the  accused,  it  is  for  the officer concerned to have the search made in the presence of the nearest  Gazetted  Officer  or  the  nearest  Magistrate whosoever is conveniently available for the purpose in order to avoid  undue delay  in completion of that exercise. It is clear from  Section 50  of the  N.D.P.S. Act that the option given thereby  to the  accused is  only to choose whether he would like  to be  searched by the officer taking the search or in  the presence of the nearest available Gazette Officer http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 or the  nearest available  Magistrate.  The  choice  of  the nearest Gazetted Officer or the nearest Magistrate has to be exercised by  the officer  making the  search and not by the accused. Learned  counsel   also  referred  to  an  order  dated 8.1.1996 made  in Special  Leave Petition  (Crl) No. 2546 of 1995 -  Raghbir  Singh  vs.  State  of  Haryana  -  wherein, according to  him, a  similar question has been referred for decision by a 3-Judge Bench on the basis that no decision so far  has  decided  that  question  involved  in  the  second submission made  by him.  It is sufficient to say that there being no  decision  taking  a  contrary  view,  and  in  our opinion, the construction being plain, it is unnecessary for us to refer this case to a 3-Judge Bench. Special leave petition is dismissed.",The High Court has gone into this question and  recorded a clear finding that there was compliance of Section 50 of the N.D.P.s. Act. It is clear from  Section 50  of the  N.d.P.-S.S. Act that the option given thereby  to the  accused is  only to choose whether he would like  to be  searched by the officer taking the search or in the presence of the nearest available Gazette Officer. The choice  of  the nearest Gazetted Officer or the nearest Magistrate has to be exercised by  the officer making the search and not by the accused.,special leave petitions,69.6
" CIVIL APPELLATE  JURISDICTION :  Special Leave Petition (Civil) No. 6331/78. From  the  Judgment  and  Order  dated  1-6-78  of  the Karnataka High Court at Bangalore in T.R.C. No. 1/75 R.  N.   Sachthey  and   Miss  A.   Subhashni  for  the Petitioner. The Order of the Court was delivered by BHAGWATI, J.  This petition for special leave to appeal against an  order of  the High  Court of  Karnataka raises a question of  interpretation of section 10 of the Estate Duty Act, 1953.  The deceased  made a  gift  of  his  residential property to his wife on 27th November, 1957 and on his death which occurred  on 2nd  August,  1963,  the  question  arose whether the  value of the residential property was liable to be included  in the principal value of the estate passing on the death  of the deceased under section 10. The argument of the Revenue  was that  even  after  the  gift  the  deceased http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 continued to reside with the wife and, therefore, it 952 could not  be said  that the  wife retained  possession  and enjoyment  of   the  residential   property  to  the  entire exclusion  of   the  deceased   and  hence  section  10  was attracted. Now  there can  be no  doubt  that  on  a  proper interpretation  of   section  10,   the  donee  must  retain possession and  enjoyment of  the  property  gifted  to  the entire exclusion  of  the  donor,  in  order  to  repel  the applicability of  that section. But we do not see how in the present case  it can  at all  be said  that the wife did not retain possession  and enjoyment of the residential house to the exclusion  of the  deceased, merely because the deceased in his  capacity as  husband continued  to reside  with  the wife. Section  10 cannot  possibly be  construed in a manner which would  require the  husband who has gifted residential house to  the wife  to live separately from her, if he wants to escape  from  the  mischief  of  that  section.  Such  an interpretation would  subvert family  life and  social order and would  be contrary  to morality and good sense. When the residential house  is gifted  to the  wife and  she  obtains possession and remains in enjoyment of it, it cannot be said that the  husband who  resides with  the wife, as in a happy family life  every husband  would be  expected to do, is, on that account,  in possession  of the residential house or in enjoyment of  it. It  is the  wife who  is in possession and enjoyment of  the residential  house  and  the  husband,  by reason of  the marital  ties, continues  to reside  with the wife. We  do not  think that  section 10  would  at  all  be attracted in such a case. We find  that this  view has been taken by the Calcutta High Court  in Mrs.  Shamsum Nehar  Mansur v.  Controller of Estate Duty,  West Bengal(1)  and Sunil Roy v. Controller of Estate Duty,  Calcutta(2), the  Andhra Pradesh High Court in Mohammed Bhai  and another  v. Controller of Estate Duty,(3) the Madras  High Court  in Kamla  Pandalai v.  Controller of Estate Duty,(4) and the Karnataka High Court in the judgment under appeal  and it  commends itself  to us.  We think that theise High  Courts rightly refused to apply section 10 to a case like  the present  where the  husband  has  gifted  the residential house  to the  wife and  thereafter continued to reside with  the wife in the residential house. The contrary view taken  by the Allahabad High Court in Bibi Ahmedi Begum v. Controller  of Estate  Duty, U.P.  (5) must be held to be erroneous. We accordingly reject the special leave petition. M. R.                                    Petition dismissed. 953","The deceased made a gift of his residential property to his wife on 27th November, 1957. On his death on 2nd August, 1963, the question arose whether the value of the residential property was liable to be included in the principal value. of the estate passing on the death of the deceased under section 10. The argument of the Revenue was that even after the gift the deceased continued to reside with the wife and, therefore, it 952 could not be said that the wife retained possession and enjoyment of the property.",special leave petitions,27.22
" O R D E R Leave granted. We have heard learned counsel on both sides. This appeal  by special  leave arises from the judgment of the  High Court of Patna, made on December 7.1993 in CWJC no 11515/92. The  admitted  position  is  that  the  respondent  was appointed as  a Government servant in June 1950 and was sent on Deputation  to the  Appellant-Board on August 4, 1959. He was absorbed  in the  Electricity Board on November 25, 1970 and retired  from service on April 30, 1984. The question is : as  to for  which period  the Board  is liable  to pay the pension to  the respondent?  The High Court found that since he was  on deputation  from the Government service from June 1950 to  August 1959,  the appellant-board  should  pay  the pension and  recover proportionately  the pension  from  the Government. The  Government had declined to bear that burden and, therefore,  the Board  has come  up in  appeal in  this matter. we  have issued  the notice to the State Government. The State Government have filed the counter. It is stated in the counter  affidavit that under Bihar pension Rules Part 2 Appendix 5-2(iii),  unless a Government servant completes 10 years of  service in the State Government service, he is not entitled to  the pension proportionately. thereafter, notice was issued  to the  respondent-employee. It  is contended by respondent-employee that  the respondent had not voluntarily gone on  deputation, but  when we read out the averment made in the  affidavit filed  in the  High Court, we find that he had not  specifically stated so. Subsequently, he so pleaded in the  counter affidavit  filed in  this Court  that he was sent on  deputation to  the Electricity  Board  against  his wishes. Under  these circumstances,  we  cannot  decide  the controversy  in   this  appeal  though  the  respondent  has asserted to  that effect.  admittedly, for  the  period  the respondent was  under the Board’s service, he is entitled to the pension  and is  being paid w.e.f. the month in which he was sent  on deputation.  The actual controversy pertains to the period  from June  1950 to  august 1959.  In view of the fact that  this is  a disputed  question, appropriate course would  be   that  the   respondent-employee  should  make  a http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 representation to  the Government and Bihar State Government would  consider  and  dispose  of  the  representation  with speaking order,  according to  law, within a period of three months from the date of the representation. The appeal  is accordingly  disposed of.  It is  stated that in  similar situation  some persons  whose  names  were furnished in  the application  were granted  benefits by the Government. It  appears that  the Board  has paid the amount pursuant to the direction of the High Court; it would be for the Board  to approach  the High  Court and take appropriate direction.","This appeal  by special leave arises from the judgment of the High Court of Patna, made on December 7.1993 in CWJC no 11515/92. The High Court found that since he was  on deputation  from June 1950 to August 1959, the appellant-board should pay the pension and recover proportionately  the pension from the Government. We have heard learned counsel on both sides.",special leave petitions,40.95
" JUDGMENT 2001 (3) SCR 1053 The following Order of the Court was delivered: Leave is granted. Heard learned counsel for the parties. This appeal is directed against the order of the High Court of Bombay, Aurangabad Bench in Civil Revision Application No. 884 of 1999 dated August 7,2000, declining to interfere with the order of the Additional District Judge, Amalner, dated March 16, 1998 dismissing Misc. Civil Application No. 21 of 1997. The appellant made that application for condonation of delay of 7 days in filing the appeal against the order of the trial court in Special C.S. No. 5/95 on the file of the Civil Judge, S.D. Amalner. A perusal of the order of the learned Additional District Judge shows that he found fault with the appellant on two grounds: (i) the judgement under appeal was delivered on April 30, 1997 but the application for certified copy was made on June 5, 1997 and (ii) in regard to the averment in the affidavit, filed in support of the application, her illness was given as a reason for the delay; it was pointed out that while she was still ill she filed the appeal. For those two reasons the application to condone the delay of seven days in filing the appeal was dismissed. It appears that the fact that during the period from May 1, 1997 to June 1,1997 the Court was in vacation, has escaped the attention of the learned Appellate Judge. To avert further delay in filing the appeal as soon as she felt a little better she filed the appeal. This depicts her anxiety to minimise the delay rather than falsity of her case or malafides. In exercising discretion under Section 5 of the Limitation Act the Courts should adopt a pragmatic approach. A distinction must be made between a case where the delay is inordinate and a case where the delay is of a few days. Whereas in the former case the consideration of prejudice to the other side will be a relevant factor so the case calls for a more cautious approach but in the latter case no such consideration may arise and such a case deserves a liberal approach. No hard and fast rule can be laid down in this regard. The Court has to exercise the discretion on the facts of each case keeping in mind that in construing the expression ’sufficient cause’ the principle of advancing substantial justice is of prime importance. In our view in this case, the approach of the learned Additional District Judge is wholly erroneous and his order is unsustainable. It is evident that the discretion under Section 5 of the Limitation Act is exercised by the Additional District Judge in contravention of the law laid down by this Court, that the expression ’sufficient cause’ should receive liberal construction, in catena of decisions (see State of West Bengal v. The Administrator, Howrah Municipality & Others, [1972] 1 SCC 366 and Smt. Sandhya Rani Sarkar v. Smt Sudha Rani Debt & Others, [1978] 2 SCC 116). The High Court in exercising its jurisdiction under Section 115 C.P.C. failed to correct the jurisdictional error of the Appellate Court. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 For the aforementioned reasons, we set aside the impugned order of the High Court as well as also of the Additional District Judge, Amalner (the Appellate Court), condone the delay of seven days in filing the appeal, restore the appeal to the file of the Additional District Judge and direct the learned Additional District Judge, Amalner to decide the appeal on merits. The appeal is accordingly allowed. No. costs.","The appeal is directed against the order of the High Court of Bombay, Aurangabad Bench in Civil Revision Application No. 884 of 1999 dated August 7,2000. The High Court in exercising its jurisdiction under Section 115 C.P.C. failed to correct the jurisdictional error of the Appellate Court.",special leave petitions,27.81
" O R D E R Leave granted. Notice was  sent to the respondents as early as on July 25,  1991   but  neither   the  unserved   notice  nor   the acknowledgement cards  have so  been far  received from  the respondents. So notice must be deemed to have been served on them. Notification under Section 4(1) of the Land Acquisition Act, 1894 was published on 23,1,1986 acquiring land situated at Patti  Rihana I  and II  and Kasumpti  Junga of  Tehsil & District Shimla.  The Land  Acquisition Officer  awarded the compensation at  the rate  of Rs.  40,000/-  per  bigha,  On reference, the  district Judge  enhanced the compensation to Rs.1,00,000/-. On appeal, the High Court after deducting 40% of the compensation awarded towards development charges, has confirmed the same in the impugned judgment. Shri H.K. Puri, learned counsel for the appellants contended that in several judgment, this Court has confirmed deduction upto 40% of the compensation   towards   development   charges   and   that, therefore, the  same ratio  would be  maintained in  all the cases. In  some  cases  this  Court  has  pointed  out  that depending upon  the location  between 30%  to 40% was proper and was  approved. In  this  case  the  Division  Bench  hes accepted thus: ""I am  of the  view a  deduction of the 40% would be reasonable."" We are,  therefore, of the view that the High Court has correctly applied  the principle  and we  find no  ground to interfere with it. The appeal is accordingly dismissed,","The High Court after deducting 40% of the compensation awarded towards development charges, has confirmed the same in the impugned judgment. Shri H.K. Puri, learned counsel for the appellants contended that in several judgment, this Court has confirmed deduction upto 40%. We are,  of the view that the High Court has correctly applied the principle and we find no  ground to interfere with it. The appeal is accordingly dismissed,",special leave petitions,37.51
" O R D E R In an  administrative suit,  the parties had agreed for sale of a property at Ootacamund in the State of Tamil Nadu. The receivers  appointed by  the Court  for the purpose sold the said  property. The appellants herein are the purchasers thereof. Some  of the  parties to the suit raised objections to the  sale purporting  to be  under Order 21, Rule 90 read with Section  151 CPC.  An objection  was raised  before the trial court  that such objections were not maintainable. The trial court  framed a  preliminary issue  and went  into the matter. It  rejected the application being not maintainable. The respondents herein took the matter in appeal to the High Court which was placed before a Division Bench for disposal. The High Court agreed with the trial court that an objection under Order 21, Rule 90 CPC to such a sale did not lie. But, since the  sale had  been effected  by the court through its appointed receivers,  the High  Court viewed  that the court had full  control and grip over the matter, empowering it to oversee whether  the sale had been properly conducted and if the was  any other  objection thereto, what was the merit of the objection. This role of the court was spelled out by the High Court  to be within the domain of Section 151 CPC which recognises and  preserves the  inherent powers  of the Civil Court. It is for that purpose that the High Court. It is for that purpose  that the  High Court  effected a remand to the trial court  to go  into the matter, holding the application filed by  the respondents  maintainable.  That  view  is  in question before this Court. After hearing  learned counsel  for the parties, we are in total  unison with the views expressed by the High Court. In an  administrative suit,  the receivers  appointed by the court to perform a function are agents of the court and like a good  principal,  the  court  can  put  the  receivers  to accountability. To  awaken the  role of  the court  in  that behalf, applications by the parties connected with the suit, are perfectly in order to obviate any doubt entering in that regard and  to effect  a sense  of transparency  so that  no blame or  aspersion is  cast on  the court  for  its  having handled the  matter in a particular way. The court’s role is of a balancer. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 It has  also to  be borne  in mind  that  interests  of justice are  the primary  consideration in  granting or  not granting prayers  in a  petition under Sec. 151 CPC. No rule or procedure  can curtail  that power of the court. The High Court rightly  has pursued  that path  in permitting promote the cause  of justice.  We,  therefore,  see  no  reason  to interfere in the said order. The appeal,  therefore, fails  and is hereby dismissed, but without any order as to costs.","In an administrative suit, the parties had agreed for sale of a property at Ootacamund in the State of Tamil Nadu. The receivers appointed by the Court for the purpose sold the said property. Some of the parties to the suit raised objections to the sale purporting  to be under Order 21, Rule 90 read with Section 151 CPC. The High Court agreed with the trial court that an objection under order 90 CPC to such a sale did not lie.",civil,50.6
" THE 10TH DAY OF MAY, 1995 Present: Hon’ble Mr. Justice J.S. Verma Hon’ble Mrs. Justice Sujata V. Manohar Mr. Maninder Singh and Ms. Indu Malhotra, Advs. for the appellant. Mr. Prem Malhotra, Adv. for the Respondents. J U D G M E N T The following Judgement of the Court was delivered: IN THE SUPREME COURT OF INDIA CIVIL APPELLATE JURISDICTION CIVIL APPEAL NOS. 5654-55 OF 1995 (Arising out of S.L.P. (C) Nos. 12914-14A of 1989) State of Haryana                          .....Appellant V. Shanti Parshad Jain & Ors.                .....Respondents J U D G M E N T Mrs. Sujata V. Manohar, J. Delay condoned. Special leave granted. These  appeals  pertain  to  the land pertaining to the respondents which has been acquired pursuant to Notification dated 30.1.1973 under Section 4 of the Land Acquisition Act, 1894 and Notification dated 24.7.1973 under Section 6 of the Land Acquisition Act,1894. The land has been acquired by the appellant   for   the  public  purpose  of  development  and utilisation of land in the urban estate to be set  up in the area of village Hissar. The Land  Acquisition  Collector  by  his  award  dated 5.9.1973 awarded  compensation to  the respondents  for  ‘A’ Category of  land at  the rate  of Rs. 20,000/- per acre and for ‘B’  Category at  the rate  of Rs.  12,000/-  per  acre. Aggrieved  by   this  award,  the  respondents  preferred  a reference under  Section 18  of  the  Land  Acquisition  Act before the  Additional District  Judge, Hissar. By his order dated 23.1.1979,  the Additional District Judge enhanced the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 award amount  as set  out therein.  In an  appeal from  this order, the  High court  by its order dated 9.12.1988 further enhanced  the  compensation  amount  and  also  granted  the benefit of Sections 23(1A), 23(2) and 28 of the amended Land Acquisition Act to the respondents. The only  point urged  before us by the appellant is in respect of  the benefit granted under Sections 23(1A), 23(2) and 28 of the Land Acquisition Act to the respondents. In this case both the award of the Collector as well as the award by the court under a reference under Section 18 of the Land  Acquisition Act  have been  made prior  to 30th of April, 1982.  Hence the  benefit of Section 23(1A) cannot be extended to  the respondents. (See: K.S.Paripoornan v. State of Kerala & Ors. (1994 (5) SCC 593). The benefit of Sections 23(2) as well as 28 also is not available to  the respondents  in the  present case  because neither the  award of  the Collector  nor the  award by  the Court is  after 30.4.1982  and before  24.9.1984. Unless the appeal before  the High  Court or before us is in respect of the award  made  by  the  Collector  or  the  Court  between 30.4.1982 and  24.9.1984 the benefit of the amended Sections 23(2) and  28 cannot be granted in such appeals. (See: Union of India  & Anr. v. Raghubir Singh (dead) by Lrs. etc. (1989 (3) SCR 316). The appeals  are accordingly  allowed and  the order of the High  Court insofar  as it grants the benefit of amended Sections 23(1A),  23(2) and  28 to  the respondents,  is set aside. In the circumstances of the case, however, there will be no order as to costs.","The land has been acquired by the appellant for the public purpose of development and utilisation of land in the urban estate to be set up in the area of village Hissar. The appeal is in respect of the benefit granted under Sections 23(1A), 23(2) and 28 of the Land Acquisition Act to the respondents. Neither the award of the Collector nor the award by the Court is after 30.4.1982 and before 24.9.1984.",special leave petitions,30.6
" THE 13TH DAY OF AUGUST, 1997 Present: Hon’ble Mr. Justice K.Venkataswami Hon’ble Mr.Justice V.N.Khare G.M.Mishra and Rathin Das, Advs. for the appellants A.P.Mohanty, Adv. for the Respondents J U D G M E N T S The following Judgment of the Court was delivered: (With C.A. No. 5851 of 1994) J U D G M E N T K. Venkataswami, J. A common  question of  law  arises  out  of  these  two appeals.   As a  matter of  fact, the High Court disposed of the two Miscellaneous Petitions by one order. The  appellant   framed  charges   against  the   first respondent in  each  of  the  appeals  for  certain  alleged misconduct committed by them.  The charge-sheets were issued by the  Director.    Medical  and  Health  Services  of  the appellant.   The delinquents challenged the charge-sheets on the only ground that their appointing authority/disciplinary authority being  the Managing Director of the appellant, the charge memo  issued by  the  Director,  Medical  and  Health Services was  invalid and of no consequence.  The appellant, however,  justified   the  issue   of  charge-sheet  by  the Director.   Medical & Health Services on the ground that the powers to initiate disciplinary action had been delegated to the Head  of the  Department who  enjoys a  rank of  General Manager.   The Director,  Medical and  Health Services,  who issued the  charge memos, admittedly come under the category of controlling authority. The High  court did  not accept  the contention  of the appellant (respondent  before the  High Court)  stating that the delegation of power has not been established. Before  us,  the  learned  counsel  appearing  for  the appellants, apart  from bringing  to our notice the relevant proceedings duly  delegating  the  power  to  the  Director, Medical and  Health Services,  invited our  attention  to  a recent decision  of this  Court in Director General. ESI vs. T.Abdul Razak  (1996  (4)  SCC  708).    In  that  case,  in answering an identical question, this Court held a follows:- http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 ""With  regard   to  initiation   of disciplinary  proceedings   by  the Regional Director, we find that the legal position is well settled that it  is   not  necessary   that  the authority competent  to impose  the penalty    must     initiate    the disciplinary proceedings  and  that the proceedings can be initiated by any superior  authority who  can be held   to    be   the   controlling authority who  may  be  an  officer subordinate   to   the   appointing authority (See:  State of  m.P.  v. Shardul   Singh;   P.V.   Srinivasa Sastry  v.   Controller  &  Auditor General and  Inspector  General  of Police  v.  General  and  Inspector General of Police v. Thavasiappan). The Regional  Director,  being  the officer-in-charge  of  the  region, was the  controlling  authority  in respect of  the  respondents.    He could  institute  the  disciplinary proceedings against the respondents even in  the  absence  of  specific conferment  of   a  power  in  that regard."" (Emphasis supplied) In the  case on  hand, it  is not  in dispute  that the authority who  issued the  charge-sheet was  the controlling authority.   That being  the position,  the judgment  of the High Court  cannot be  sustained and  accordingly it  is set aside and the appeals are allowed. However, there will be no order as to costs.","The High Court disposed of the two Miscellaneous Petitions by one order. The High Court did not accept the contention that the delegation of power has not been established. The Regional Director,  being the officer-in-charge of  the  region, was the controlling  authority in respect of the respondents. He could institute the disciplinary proceedings against the respondents even in the absence of specific conferment of a power in that regard.",barge hire charges,19.64
" J U D G M E N T O R D E R Arising out of S.L.P. (C) 2523 of 2007) 1.      Delay of 14 days in filing this Special Leave Petition is condoned. 2.       Leave granted. 3.      This appeal is directed against the final order dated 20th of July, 2006 passed in Writ Petition No. 93 of 2006 and also the order dated 18th of August, 2006 in Review Petition No. 12 of 2006 passed by the Division Bench of the High Court at Calcutta, Circuit Bench at Port Blair, whereby the High Court had dismissed the Writ Application as well as the Review Petition by the aforesaid two orders. 4.      Having heard the learned counsel for the parties and after going through the impugned orders, we are of the view that the order of the High Court, dismissing the Writ Application on the ground of maintainability of the same, cannot be sustained.  It appears that an application under Article 32 of the Constitution was filed before this Court, which came to be registered as W.P. (C) 141 of 2006, which was dismissed as withdrawn.  The order of this Court runs as under: \023The learned senior counsel appearing for the petitioner seeks leave of the Court to withdraw this Writ Petition.  Permission granted.  The Writ Petition is allowed to be withdrawn and is dismissed as such.\024 5.      After the Writ Petition under Article 32 of the Constitution was withdrawn, a fresh Writ Application was filed in the High Court, which was dismissed on the ground that since the point taken in the Writ Petition was already urged before this Court and the Writ Application under Article 32 of the Constitution of India was withdrawn, there could not be any question to entertain the Writ Application. A Review Application was filed, which was also dismissed by the High Court and the appellants have filed this appeal against the aforesaid two orders. 6.      In our view, the High Court had gone wrong in dismissing the Writ Application on the ground that it was not maintainable after the Writ Petition under Article 32 of the Constitution was withdrawn.  It is now well settled that when a Writ Petition filed under Article 32 of the Constitution is dismissed as withdrawn, that would not take away the right of the Writ Petitioner to move a fresh writ application under http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 Article 226 of the Constitution for the same relief.  That being the position, we have no other alternative but to set aside the impugned order, including the order passed in the Review petition and restore the writ application for decision afresh in accordance with law.  We request the High Court to decide the writ application after giving hearing to the parties and after passing a reasoned and speaking order within four months from the date of supply of a copy of this order to the High Court. 7.      The impugned orders, therefore, are set aside.  The appeal is allowed to the extent indicated above.  There will be no order as to costs. 8.      We, however, make it clear that we have not gone into the merits of the Writ Petition, which shall be decided by the High Court in accordance with law.","This appeal is directed against the final order dated 20th of July, 2006 passed in Writ Petition No. 93 of 2006. The High Court had dismissed the Writ Application as well as the Review Petition by the aforesaid two orders. It appears that an application under Article 32 of the Constitution was filed before this Court, which came to be registered as W.P. (C) 141 of 2006, which was dismissed as withdrawn.",special leave petitions,54.73
