index,JUDGMENT,Summarized_text,Labels,Scores
1409," J U D G M E N T N.P.SINGH,J Leave granted. Civil Appeals are disposed of in terms of the  judgment of this Court in the case of Shri Chander Chinar Bada Akhara Udasin society  and ors.  vs. The  State of J & K and ors. ( Civil Appeal  Nos. 11915-17 of 1996 @ SLP (C) Nos. 7924-7926 of 1996) delivered today.",Leave granted. Civil Appeals are disposed of in terms of the judgment of this Court in the case of Shri Chander Chinar Bada Akhara Udasin society and ors. ( Civil Appeal  Nos. 11915-17 of 1996 @ SLP (C) Nos. 7924-7926 of 1996) delivered today.,civil,73.21
1410," THE 27TH DAY OF NOVEMBER, 1997 Present: Hon’ble Mr.Justice G.T.Nanavati Hon’ble Mr.Justice V.N.Khare D.M.Nargolkar and S.M.Jadhav, Advs. for the appellants V.A.Bobde,  Sr.Adv.,   Mrs.Alamjit  S.Nand.,   S.  Mudaliar, Alamjit Chauhan, Advs. with him for the Respondent J U D G M E N T The following Judgment of the Court was delivered: This appeal  is filed against the judgment and order of the Bombay High Court is Writ Petition No. 104 of 1988. The  truck   of  the   respondent  was  ordered  to  be confiscated by  the Assistant  Conservator of  Forest, as it was found  involved in  commission of  a forest offence. The order was  confirmed by  the Conservator  of Forest. Against this order,  the  respondent  preferred  an  appeal  to  the Session Court but it was dismissed. Therefore, he approached the High  Court with  a petition  under Article  227 of  the Constitution.  The   High  Court  set  aside  the  order  of confiscation on  the ground  that the authorities had failed to establish  that the  owner of the truck had any knowledge that his  truck was  likely to  be used  for carrying forest produce in contravention of the provision of the Forest Act. This finding  was based  upon the  evidence on  the  record. Therefore, we  do not consider it proper interfere with such finding. We, therefore, dismiss this appeal.","This appeal  is filed against the judgment and order of the Bombay High Court is Writ Petition No. 104 of 1988. The truck   of  the  respondent  was ordered  to be confiscated by the Assistant  Conservator of Forest, as it was found  involved in  commission of a forest offence. The High  Court set aside the order of confiscation on the ground that the authorities had failed to establish that the owner of the truck had any knowledge that his truck was likely to be used for carrying forest produce.",appointment,30.34
1411," JUDGMENT 2000 Supp(4) SCR 41 The following Order of the Court was delivered : These appeals have been preferred by the Central Bureau of Investigation challenging the order of a Single Judge of the Karnataka High Court by which two out of six accused were discharged from trial proceedings. The third as Mr. Bangrappa a former Chief Minister of the State of Karnataka and sixth accused Mr. Suri Babu was his Private Secretary while he was holding office as Chief Minister. Those two accused were discharged by the impugned order. They and four others were chargesheeted by the Central Bureau of Investigation for the offences under Sec. 13(2) read with Sec. 13(l)(d) and Sec. 7,12 of the Prevention of Corruption Act 1988 read with Sec. 120-B of the Indian Penal Code. The first accused is shown as Principal of one P.C. Dental and Nursing College, Bangalore, second accused was shown as the Minister for Health in the Ministry headed by the third accused Bangarappa and the fourth accused was the Chairman of the said P.C. Dental and Nursing College, (apart from being a sitting M.L.A.) and accused No. 5 was Chairman of the Local Enquiry Committee appointed by the Bangalore University. The trial court heard the accused in the matter of framing charge and passed a detailed order on 8.1.1999 holding that the evidence produced by the prosecution is sufficient to frame charge against the accused persons. The said order of the Special Judge was challenged by the respondents in these appeals before the High Court in Criminal Revision Petition Nos. 112/99 and 174/99. Both were heard together and by a common order (which is under challenge in these appeals) learned single judge discharged those accused, but at the same time directed the case to be proceeded as against the remaining accused. The appellant - C.B.I. had raised various grounds assailing the reasoning advanced by the learned single judge for discharging the respondents. As the arguments were started we expressed the consequence of dealing with a petition filed by the accused for discharging them and pointed out the dangers involved for either side if this Court is to reach any finding on the contentious issues. At the said stage, learned counsel for the respondent sought time to get instructions in the matter. Today under instructions from the respondents, it was submitted before us by Mr. Kapil Sibal, learned senior counsel that those respondents would withdraw the revision petitions filed before the High Court for discharge, without prejudice to their rights to raise appropriate contentions before the trial court at the appropriate stage. Mr. Altaf Ahmad, learned Additional Solicitor General appearing for the C.B.I. submitted that he has no objection to the said course being adopted as it would enable the trial to proceed to its logical end. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 In the light of the said submission that revision petitions filed before the High Court are withdrawn we do not think it necessary to go into the contentions or grounds raised in these appeals for assailing the reasoning adopted by the learned single judge. We order that the revision petitions filed in the High Court by the respondents would stand withdrawn and consequently the impugned order will stand erased. If the trial court is to decide any question which had been dealt with in the impugned judgment the same shall be decided as though the High Court has not pronounced any opinion on such questions thus far. The trial court will now frame charge against the respondents alongwith the other accused and proceed to take evidence in accordance with law and conclude the trial and dispose It of as expeditiously as possible. Appeals are disposed of accordingly.",Two out of six accused were discharged from trial proceedings. The third as Mr. Bangrappa a former Chief Minister of the State of Karnataka. The fourth accused was the Chairman of the said P.C. Dental and Nursing College.,appointment,39.06
1412," O R D E R Leave granted. This appeal by special leave arises from the order of the High  Court of  Allahabad dated  February 3,  1994 in FA No.233/88. 5.357  acres of  agricultural  land  situated  in Daoodpur, Pargana Chinaiya-kot Tehsil Mohammadabad, District Azamgarh was  acquired for construction of Sirsa Alpika. The Land Acquisition Officer in his award dated January 10, 1985 determined compensation @ Rs.3,658.87 per acre. Dissatisfied therewith, the  respondent sought reference under Section 18 of the  Land Acquisition  Acts 1894  to the Civil Court. The Civil Court  in its award and decree dated February 17, 1988 enhanced  the   compensation  to   Rs.30,000/-   per   acre. Dissatisfied with the award of the Reference Court, both the claimants as  well as  the State  filed the  appeal. In  the impugned judgment,  the learned judge granted compensation @ Rs. 69,013.11 per acre. Thus this appeal by special leave. It is  settled law  that in  reference under Section 18 claimant being  dissatisfied with  the  award  of  the  Land Acquisition Officer,  when the  proceedings are  taken under Section 20 of the Act, burden is always on the claimant like plaintiff to  adduce reliable  and  acceptable  evidence  to prove proper, just and adequate compensation to the acquired land. If  such an  evidence was adduced, burden shifts on to the State to disprove it. It is further settled law that the sales transactions filed either in the narration of award or documents, without  examination of  either the  vendee or by the vendor  is not  evidence. It is the duty of the Court to carefully assess  the evidence  on the  touch stone of human conduct and  prudent purchaser.  Admittedly, in  this  case, though reference to four sales transactions had been made by the reference  Court, neither  the vendee nor the vendor was examined nor  was it established that the sale consideration which passed thereunder is true and the prices for which the sales came  to be  executed were  real one  between  willing http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 vendor  and  willing  vendee.  Equally,  burden  is  on  the claimant to  establish that  the lands relating to the sales transactions and  the lands  under acquisition are possessed of same  value, nature  of the lands are same and capable to fetch same price, and so also other situations as comparable features. Unfortunately, neither the reference Court nor the High Court  has looked  into this legal aspect of the matter and proceeded  on the  terms of  those  sale  deeds.  It  is equally settled  law that  the Courts  should avoid feats of imaginations to  fix fanciful price, and sit in the armchair of willing  vendee to see whether a prudent purchaser acting in normal  market condition  would be  willing to  offer the price which  are mentioned  in the sale instances. The Court should clearly  and  carefully  evaluate  the  evidence  and determine market  value  avoiding  needless  burden  on  the exchequer and  according adequate  and just  compensation to the acquired  land. The  very approach adopted by the courts below is  beset with  illegalities and, therefore, we do not find any  legal basis  to consider the evidence on record to determine proper and adequate compensation in respect of the acquired land. Under these  circumstances, we  are left with no option but to set aside the decree and award of the reference Court as well  as of  the High  Court and  remit the matter to the reference Court  to give  an opportunity  to the claimant as well as  the Land  Acquisition Officer to adduce evidence in the case and then to determine the compensation according to law. The  appeal   is  accordingly   allowed  but,   in  the circumstances, the  parties are  directed to  bear their own costs.","5.357 acres of agricultural land situated in Daoodpur, Pargana Chinaiya-kot Tehsil Mohammadabad, District Azamgarh was acquired for construction of Sirsa Alpika. The Land Acquisition Officer in his award dated January 10, 1985 determined compensation @ Rs.3,658.87 per acre. Dissatisfied with the award of the Reference Court, both the claimants as well as the State filed the appeal.",special leave petitions,37.97
1413," O R D E R Heard counsel  for  both  the  parties  at  this  stage itseIf. The question  is whether wooden furniture by itself can be  treated   as  ""handicrafts""   within  the   meaning   of Notification No.76  of 1986 dated February 10, 1986? It must be said straightaway that furniture as such does not qualify as handicrafts.  It may be characterised as ""handicrafts"" if the following tests are satisified: ""(i) It  must be predominantly made by hand. It does not matter if some machinery  is   also  used  in  the process. (2) It  must be  graced with visual appeal    in    the    nature    of ornamentation  or  in-lay  work  or some similar  work  lending  it  an element  of  artistic  improvement. Such ornamentation  must  be  of  a substantial nature  and not  a mere pretence."" Whenever the  above question  arises,  the  authorities shall examine the matter from the above stand-point and pass orders accordingly. The above principles shall apply to all pending matters and to  all matters  arising hereinafter.  This direction we are making  because it  appears that  the view  taken by the Tribunal in the order under appeal - which is clearly not in accordance with  the tests/principles laid down by us herein appears to  have been followed by the Tribunal since 1989 at least. The  cases concerned herein shall not be re-opened in view of the above principles. The appeals  are disposed of with the above directions. No costs. A copy  of this  Order may  be sent  to the  Registrar, http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 CEGAT and he may circulate the same to all the Benches.","Wooden furniture by itself does not qualify as handicrafts. It may be characterised as ""handicrafts"" if the following tests are satisified: ""(i) It  must be predominantly made by hand. It does not matter if some machinery is   also used in the process""",transfer,32.11
1414," O R D E R Leave granted. It is stated that the first respondent was posted as an Assistant Godown  Manager in  the Stores. Within a period of three months,  he committed defalcation of mis-appropriation of Rs.2,61,859.30.  The mis-appropriation of the said amount took  place  during  the  period  of  1976  and  earlier.  A departmental enquiry  commenced on  December  12,  1979  and initially the prosecution was laid in 1985 without obtaining the  sanction.   The  learned   Magistrate  discharged   the respondent on the ground that the sanction as required under Section 197  of the Code of Criminal Procedure, 1973 was not obtained. In  1991, the sanction was obtained and thereafter the prosecution  was laid.  The High Court unfortunately has interfered with the matter exercising its jurisdiction under Section 226 on the ground that there was a delay of 15 years in laying  the prosecution.  This was  most unfortunate that the High  Court would  have interfered  but having regard to the distance of time at this stage, it is not appropriate to interfere with  the matter  which is  at  a  stage  of  even starting of the trial. Having considered  the totality of the fact of abnormal delay, it  is not  a fit  case for  our  interference  under Article 136  of the  Constitution.  We  are  constrained  to dismiss the appeal on this ground.","It is stated that the first respondent was posted as an Assistant Godown  Manager in the Stores. Within a period of three months,  he committed defalcation of mis-appropriation of Rs.2,61,859.30. The High Court unfortunately has interfered with the matter exercising its jurisdiction under Section 226.",special leave petitions,25.31
1415," ORIGINAL JURISDICTION: Writ Petition (Civil) No. 849 of 1987. (Under Article 32 of the Constitution of India). Petitioner-in-person and M.S.Ganesh for the petitioner. 442 K. Parasaran,  Attorney General  and Ms.  A. Subhashini for the Respondents. The following order of the Court was delivered: http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 3 O R D E R This application  has been filed by an Advocate of this Court by  way of  a public  interest litigation. It had been listed earlier  and learned  Attorney  General  had  entered appearance on behalf of the Union of India. We have  heard the  petition. It  has been  couched  in unsavoury language  and the petitioner seems to have made an intentional attempt  to indulge  in mud-slinging against the advocates,  this   Court  in   particu  lar  as  also  other constitutional institutions.  Many of the allegations in his writ petition are likely to lower the prestige of this Court as the  apex judicial  institution. At one place in the writ petition, he has alleged:- ""Thus the working of the Judges are cocktail based on Western Common Laws and American techniques, as such  unproductive  and  out  dated  according  to socio-economic conditions of the country. "" At one another place, the petitioner has stated that: ""This Court  has become a constitutional liability without having  control over  the illegal  acts of the Government ...... Thus the people for whom the Constitution is  meant have  now turned down their faces against  it which  is a did-illusionment for fear that justice is a will of the Wisp."" Yet at  another place  the petitioner  has stated  that this Court  is sleeping  over the  issues like ’Kumbhkarna.’ The reading  of the  writ petition gives the impression that it is clearly intended to denigrate this Court in the esteem of the  people of India. We are of the priam facie view that the petition  has been  drawn up  with a designed purpose of bringing the  Court into  contempt and  the  petitioner  is, therefore, prima facie guilty of contempt. The writ  petition  has  been  drafted  in  a  careless manner. At  several places the pleadings are meaningless. At several other places 443 they  are   contradictory.The  allegations  are  clumsy  and several irrelevant  facts have been put into the petition to inflate its size. The petitioner  has left  out no  institution from  his attempt of  mud-slinging.  We  have  a  feeling  that  while drawing  up  the  petition  the  petitioner  has  considered himself to  be the only blemishless person and everyone else including social  institutions to  be blame-worthy.  We  are surprised that  an advocate  practising in  this Court  with considerable experience  has  choosen  to  act  in  such  an irresponsible manner.  The writ  petition, in  our  opinion, therefore,  deserves   to  be  dismissed.  We,  accordingly, dismiss the writ petition. We direct  the  Registry  to  draw  up  an  appropriate proceeding for  contempt and  issue notice to the petitioner calling upon  him to show cause in person on 9.11.1987 as to why he may not be proceeded under the Contempt of Court Act. At page 41 of his petition, the petitioner has stated.- ""This is  a  public  interest  litigation  in  the interest of  independence of  judiciary and social justice .. "" We are  of the  view that  the petition  is an  act  against public interest.  The petitioner  has certainly over-stepped the limit  of self-restraint,  so much necessary in a public interest litigation. We direct the Registry not to entertain any application  by way of public interest litigation by the petitioner in future. P.S.S.                                    Petition dismissed 444 http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 3 of 3","Petitioner-in-person and M.S.Ganesh for the petitioner. 442 K. Parasaran,  Attorney General  and Ms. A. Subhashini for the Respondents. The following order of the Court was delivered: http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 3 O R D E R",civil,30.81
1416," JUDGMENT 2003 Supp(2) SCR 994 The following Order of the Court was delivered: Delay Condoned. By means of a petition under Article 226 of the Constitution, the petitioners challenged Sections 2 and 7 of the Orissa Freedom of Religion Act, 1967 (for short ""the Act"") and Rules 4 and 5 of the Orissa Freedom of Religion Rules, 1989 (for short ""the Rules""). The petition was dismissed by the Orissa High Court. It is against the said order and judgment, the petitioners are before us by means of this special leave petition. It may be noted that this Act has been held to be a valid piece or legislation by this Court in Rev. Stainislaus v. State of Madhya Pradesh and Ors., AIR (1977) SC 908 wherein it has been held as under : ""19. We have no doubt that it is in this sense that the word ’propagate’ has been used in Article 25 (1), for what the Article grants is not the right to convert another person to one’s own religion, but to transmit or spread one’s religion by an exposition of its tenets. It has to be remembered that Article 25 (1) guarantees ""freedom of conscience"" to every citizen, and not merely to the followers of one particular religion, and that, in turn, postulates that there is no fundamental right to convert another person to one’s own religion because if a person purposely undertakes the conversion of another person to his religion, as distinguished from his effort to transmit or spread the tenets of religion, that would impinge on the ""freedom of conscience"" guaranteed to all the citizens of the country alike."" Referring to Article 25 of the Constitution of India, it was observed that "".....What is freedom for one, is freedom for the other, in equal measure, and there can therefore, be no such thing as a fundamental right to convert any person to one’s own religion."" Learned counsel appearing for the petitioners, however, before us sought to assail sub-rule (3) of Rule 5 of the Rules which has been inserted by a Notification No. 63286 dated 26.11.1999. The impugned judgment does not show that the vires of the aforementioned provision was specifically mooted. Before the High Court, the principal argument advanced on behalf of the petitioners was that the said Rules are ultra vires the rule-making power contained in Section 7 of the Act. The High Court has dealt with the matter in paragraph 5 of its judgment. We have also perused the written submissions filed by the petitioners before the High Court, but we do not find any specific ground questioning the said Rule other than mentioned hereinbefore was raised before the High Court. Furthermore, the question as to whether a rule is ultra vires or not, must be adjudged having regard to public order in mind. Had such a contention been raised, the State would have justified the making of the order, inter alia, on the ground of http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 maintenance of public order. Such contention therefore, cannot be permitted to be raised for the first time before this Court. Merely because an inquiry is contemplated under Rule 5, it does not ipso facto make the Rule invalid. We, therefore, do not find any merit in the special leave petition. It is, accordingly, dismissed.","The petitioners challenged Sections 2 and 7 of the Orissa Freedom of Religion Act, 1967 (for short ""the Act"") and Rules 4 and 5 of theOrissa Freedom Of Religion Rules, 1989. The High Court has dealt with the matter in paragraph 5 of its judgment. We do not find any merit in the special leave petition. It is, accordingly, dismissed.",special leave petitions,62.82
1417," J U D G M E N T Dr.AR.LAKSHMANAN,J. Heard Mr.Shrish Kr.Mishra, learned counsel for the appellants and Mr.Indra Makwana, learned counsel for the respondent-workman. We have perused the records and the order impugned in this appeal. The Labour Court has held that the appellant has worked for 240 days.  In our opinion, the finding recorded by the Labour Court is factually incorrect.  The appellant has placed material before us and also before the Labour Court that the workman has worked only for 227 days in about  four years as per the following description as contained in para 5 of the reply to the statement of claim :- ""December, 1987                 4 days January, 1988                  27 days February, 1988               25 days March, 1988                    27 days March, 1990                    23 days April, 1990                  23 days May, 1990                            20 days July, 1990                           18 days August, 1990                   18 days December, 1991               14 days January, 1992                  24 days February, 1992               04 days ___________________ Total Days 227 days"" __________________ The respondent has not worked for 240 days in one calendar year which is the condition precedent for attracting provisions of Section 25F of the Industrial Disputes Act, 1947.  This apart, the workman was a causal house assistant who never worked for 240 days continuously in one calendar year.  As per the provisions of Section 25(B) of the Industrial Disputes Act, there should be working of 240 days in one calendar year.  Hence, the provisions of Section 25F of the Industrial Disputes Act are not attracted in the instant case for the reason that the respondent worked only for 227 days in about 4 years period from the date of his initial appointment i.e. 28.12.1987 to the date of termination i.e. 07.02.1992.  In our opinion, the learned Single Judge as also the learned Judges of the Division Bench of the High Court have committed a mistake of law in ordering reinstatement with back wages etc.  This apart, the order passed by the Division Bench is also non-speaking. As already noticed, it is the settled proposition of law that when the initial appointment itself is void then the provisions of Section 25F of the Industrial Disputes Act are not applicable while terminating the services of the workman.  The respondent-workman has also not placed before the Labour Court the relevant documents and not even summoned the records before the Labour Court.  It is seen from the records that neither the Labour Court called for the records concerned nor the respondent-workman moved http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 an application before the Labour Court for summoning the records. The respondent-workman led no cogent and convincing evidence before the Labour Court.  Accordingly, the award passed by the Labour Court deserves to be quashed and set aside. For the aforesaid reasons, we set aside the order of reinstatement and back wages passed by the courts below.  The appeal stands allowed accordingly.  No costs. We make it clear that if any payment is made to the respondent during the pendency of appeal in this Court, the same shall not be recovered. In view of the order now passed, the proceedings before the Labour Court under Section 33C(2) has become infructuous. 27862","The Labour Court has held that the appellant has worked for 240 days. In our opinion, the finding recorded by the Labour Court is factually incorrect. As per the provisions of Section 25(B) of the Industrial Disputes Act, there should be working of 240 days in one calendar year. But the respondent worked only for 227 days in about 4 years period from the date of his initial appointment i.e. 28.12.1987.",transfer,18.01
1418," J U D G M E N T CIVIL APPEAL NO.  1993 OF 2008 (Arising out of SLP(C) No. 4735 of 2007) Dr. ARIJIT PASAYAT, J. 1.      Leave granted. 2.      Challenge in this appeal is to the order passed by a Division bench of the Punjab and Haryana High Court dismissing the writ petition filed by the present appellant. Challenge in the writ petition was to the order passed by the Presiding Officer, Labour Court 1, Faridabad. 3.      Background facts in a nutshell are as follows: Respondent claiming to have been appointed by the appellant as a baildar in December, 1991 alleged that while working with the appellant, had met with an accident and FIR was lodged.  Respondent could not attend the duties and the reasons for the absence were within the knowledge of the management of the appellant.  The management was also requested to provide for reimbursement of medical aid to the claimant who was admitted in the hospital and continuously long thereafter.  The accident in question occurred on 21.8.1992. Accordingly a claim petition was filed.  The prayers made in the claim petition were resisted by the present appellant. It was stated that as per official records respondent had only worked for 179 days. The Labour Court did not accept the plea and held that respondent had worked for more than 240 days. The award was challenged before the High Court. However, the High Court dismissed the writ petition holding that the services have been illegally terminated and therefore the respondent was entitled to full  back wages.  It was held that back wages is the normal rule and party objecting to it must establish the circumstances necessitating departure. The High Court placed reliance on a Full Bench decision of Punjab and Haryana High Court in Hari Palace, Ambala City v. The Presiding Officer, Labour Court and Anr. (Punjab Law Report, Vol. LXXXI-1979, 720). 4.      In support of the appeal learned counsel for the appellant submitted that there was no material whatsoever placed by the claimant before the Labour  Court that it was appointed towards any sanctioned post and was entitled to full  back wages. It was also submitted that official records clearly http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 established that he had worked for 179 days. Holidays have wrongly been taken into account. Even then the number of days does not exceed 210 days. 5.      Learned counsel for the appellant further submitted that since no reason has been indicated the impugned order cannot be maintained.  The High Court has recorded an abrupt conclusion without any material.   It is submitted that the case should not have been decided merely placing reliance on some other decision without even indicating as to how the factual scenario is the same. 6.      Learned counsel for the respondent on the other hand supported the judgment of the Labour Court and the High Court. 7.       It seems that the High Court has not analysed the factual position and has come to an abrupt conclusion by relying on some earlier decision to hold that the appellant was not entitled to any relief.  The approach is certainly casual. It is to be noted that one of the major grounds urged was that the onus was wrongly placed on the appellant to show that the respondent had not worked for 240 days continuously. 8.      In the circumstances, we set aside the impugned order of the High Court and remit the matter to it for fresh consideration in accordance with law. 9.      Appeal is allowed.","Dr. ARIJIT PASAYAT, J.C. granted leave to appeal against the order of the Punjab and Haryana High Court dismissing the writ petition filed by the present appellant. Challenge in the appeal was to the order passed by the Presiding Officer, Labour Court 1, Faridabad.",civil,65.17
1419," O R D E R Delay condoned. Substitution ordered. Leave granted.  We have  heard the  learned counsel  on both sides. The admitted  position is  that the civil Court decreed the suit  for eviction against the appellant holding that he was not a tenant which order had become final. The same plea of want  of jural  relationship is  sought to  be raised  in execution. When the objection raised was negatived, the High Court in  Writ Petition  No.3319  of  1992  by  order  dated November 22,  1991 directed  the executing  Court to go into the question. Accordingly, this appeal by special leave came to be filed. Shri  Bhasme,  learned  counsel  for  the  respondents, contended that  in view of the specific language employed in Section 85-A  of the  Bombay Tenancy  and Agricultural Lands Act, 1948  the only  competent authority that has to go into the question  is the  revenue authority  under the  Act  and civil Court  has no  jurisdiction to  go into  the  question whether the  appellant is  a tenant  or not.  Therefore, the High Court  was right in directing the executing Court to go into  the  question.  It  is  rather  unfortunate  that  the respondent has  allowed the  decree holding that he is not a tenant to  become final.  Having allowed it to become final, it is  not open  to him to contend that he is still a tenant under the  Act and  therefore the  decree is  nullity. Under those  circumstances,  the  executing  Court  was  right  in refusing  to  entertain  the  objection  for  executing  the decree.  The   High  Court   was  not   justified,  in   the circumstances, in  directing the executive Court to consider the objection. The appeal is accordingly allowed. No costs.","Civil Court decreed the suit for eviction against the appellant holding that he was not a tenant which order had become final. High Court in Writ Petition  No.3319 of 1992 by order  dated November 22, 1991 directed  the executing Court to go into the question.",special leave petitions,33.13
1420," S. N. VARIAVA, J. L...I...T.......T.......T.......T.......T.......T.......T..J Leave granted. Heard parties. This  Appeal is against an Order dated 10th March, 2000. By  this  Order a detention Order dated 7th April, 1999  has been  quashed  on  the ground that in the Affidavit  of  the Sponsoring  Authority it has been mentioned that the  Detenu was involved in six cases and that in the detention Order it has  been  stated  that  the Detenu  was  involved  in  four occurrences  in  four different cases.  It is held that  the Detenu  had been given copies of documents in respect of one case  only even though the Detaining Authority was bound  to give  copies in all the six cases.  It is held that thus the Detenu  had  been denied an effective opportunity to  defend himself.  On this ground the detention Order was set aside. It  is correct that the Detaining Authority has to apply its  mind before issuing a Detention Order.  However, it  is equally  important  that the Court, hearing a Habeas  Corpus Petition  under  Article 226 of the Constitution  of  India, also  applies its mind before it quashes a Detention  Order. Undoubtedly,  in  the  Affidavit  filed  by  the  Sponsoring Authority  reliance has been placed on six cases.   However, the  Detaining  Authority  has not placed  reliance  on  six cases.   This itself shows that the Detaining Authority  had applied its mind and not gone just by what was stated by the Sponsoring Authority. In Para 2 of the impugned Order it is stated as follows: ""2.   In  sub-para  2 of paragraph 3 of the  grounds  of detention  it  is stated as follows:  ""He has committed  the above   mentioned  offences  in  Sobanapuram,   Koppampatti, Manamalai,  Anaikkal which are rich in sandalwood and  other species and wild life."" The  detenu  is  stated to have been  involved  in  four occurrence in four different cases.  ."" http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 From the statement extracted above it has been concluded that  there were four occurrences in four different  places. However,  the same Detention Order also sets out as follows: ""On  16-3-99  on  a reliable information, the  Forest  Range Officer,  Perambalur and incharge of Thuraiyur Range, formed a  special  party  led by him, proceeded at about  5  PM  to conduct  forest  offences  raid   at  Sobanapuram   Section, Koppampatti beat, Manmalai Reserve Forest Jee road."" Thus  it  is  clear  that   Sobanapuram  is  a  Section, Koppampatti  is  a  beat, Manmalai is a reserve  forest  and Anaikkal is a name of the road.  A careful reading shows the Detention  Order does not refer to four occurrences in  four different places, but is only mentioning that an offence had taken  place  in  Sobanapuram   section,  Koppampatti  beat, Manamalai  forest and at Anaikkal road.  Had the High  Court applied its mind properly, it would have realised that there were   no  four  occurrences  in  four   different   places. Admittedly,  the Detenu has been given copy of the documents in the adverse case relied upon. In  our  view, there has been total  non-application  of mind  on the part of the High Court.  The impugned Order  of the  High  Court  cannot be sustained and it is  hereby  set aside. However,  the Detention Order was of 1999.  The same had been quashed by the High Court in March 2000.  The period of detention  is  over.  In our view, this is not a case  where the  Detenu  should  be  made to surrender  to  undergo  the remaining period of detention. The  Appeal stands disposed off accordingly.  There will be no Order as to costs. ..J. (M. B. SHAH) ..J. (S. N. VARIAVA) February 20, 2001.","This appeal is against an Order dated 10th March, 2000. By this Order a detention Order dated 7th April, 1999 has been quashed. It is held that the Detenu had been given copies of documents in respect of one case only even though the Detaining Authority was bound to give copies in all the six cases. In our view, there has been total  non-application  of mind on the part of the High Court.",barge hire charges,22.9
1421," JUDGMENT O R D E R (Arising out of SLP(C) No. 2635/05) Leave granted. Respondent No.1 was appointed as Assistant Teacher in Paranjape-Motiwale High School on 15.6.1970 where she continued upto 8.5.1984. Thereafter, the respondent was on leave till 8.6.1986. She  resigned from her post on 9.6.1986 and  joined respondent No.3, Maharashstra Mitra Mandal Madhyamik Shala on 10.6.1990 which is after four years. After rejoining service with Respondent No.3,  she continued on the post upto her superannuation on 31st December,2003.  Thus the total length of service rendered  on the post by respondent No.1 was 13 years, 6 months and 20 days. The service was pensionable. If the break period is added, then she would have been entitled to additional pensionary benefits, and keeping this in view respondent moved an application on 26.12.2003 for condonation of break in service.  The application was rejected on 24.3.2004 by the authorised officer.  This decision of the officer refusing condonation  of break in service, was challenged by respondent No.1 by filing Writ Petition No.4404 of 2004 before the High Court.  The High Court has directed the State of Maharashtra to condone the break in service to respondent from 9.6.1986 to 10.6.1990 and to refix the pension by taking into consideration her total service from 15.6.1970 to 31.12.2003, and thereafter pay the pensionary benefits to her accordingly. For giving the aforesaid direction, the High Court has relied upon State Government  Resolution dated 12th November,1976 as well as Government Notification dated 10.5.1989. Learned counsel for the appellant-State has brought to our notice Government  Resolution,  Education  and Social Welfare Department dated 4th November,1968 whereunder for condoning the break in service, the period of each break should not exceed six months and the total period of permissible 6 breaks should not exceed 2 years;  and Circular dated 10.5.1989 whereunder total duration of breaks must not be more than 2 years. The High Court has failed to notice this part of the GR and was impressed by the fact that the power to condone the break in service, which vests with the authority,  should have been exercised in favour of respondent No.1.  On the face of the Circular, whererunder the power to condone the break in service  exceeding the period of two years does not vest with the Government,  the High Court has committed an error in issuing the aforesaid direction.  That being the case, the  appeal is allowed  and the order passed by the High Court is set aside.",The High Court has set aside the order passed by the High Court is set aside. The appeal is allowed  and the order is allowed to stand. Respondent No.1 was appointed as Assistant Teacher in Paranjape-Motiwale High School.,special leave petitions,30.54
