JUDGMENT,Summarized_text,Label,Scores
" JUDGMENT O R D E R CRIMINAL  APPEAL NO.     374   OF 2008 (Arising out of SLP(Cr.)No. 4215/2006) Leave granted. This appeal is directed against the order passed by   the High Court on the appellants’ application under Sec.482 of the Code of Criminal Procedure for quashing of the FIR No. 346 dated 13.5.2003, Police Station, Section-5 Panchkula, for the offences alleged to have been committed under Sec.406/498-A of the Indian Penal Code.  The said petition was filed on behalf of  five of the seven accused, and, as will appear from the order of the High Court impugned in this appeal, the same  was allowed in respect of petitioner Nos. 1 and 2, who are admittedly  residents of Nigeria, and petitioner No. 5 who is the uncle of the husband of the complainant. The petition was dismissed as far as the petitioner Nos. 3 and 4, Subodh Kaura and his wife Sonia Kaura, are concerned.  It may be indicated that Sonia Kaura is the sister of the accused No.1 - husband of the complainant, and Subodh Kaura is her husband. -2- The High Court while considering the petition has dealt with the case made out on behalf of the petitioner Nos.1,2 and 5 but except for indicating that the FIR against the appellants herein would remain, no reason has been given as to why such order was required to be passed in respect of the appellants herein. Having heard learned counsel for the respective parties, we set aside the order of the High Court, as far as it dismisses the petition of the appellants under Sec.482 of the Code of Criminal Procedure, and remit the matter to the High Court for fresh consideration of the said petition after hearing the parties and in accordance with law. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 -3- We make it clear that this order does not in any way amount to any expression on the merits of the matter. The interim stay granted on 8.9.2006 by this Court will continue till the disposal of the matter by the High Court. The appeal is disposed of accordingly.","This appeal is directed against the order passed by   the High Court on the appellants’ application under Sec.482 of the Code of Criminal Procedure for quashing of the FIR No. 346 dated 13.5.2003, Police Station, Section-5 Panchkula. The said petition was filed on behalf of  five of the seven accused. The petition was dismissed as far as the petitioner Nos. 3 and 4, Subodh Kaura and his wife Sonia Kaura are concerned.",criminal,26.96
" O R D E R Delay condoned. Leave granted. We have heard learned counsel on both sides. This appeal  by special  leave arises from the judgment of the  High Court  of Bombay,  made  on  December  8,  1994 dismissing the Civil Revision No.632/91. The  admitted   position  is  that  the  uncle  of  the petitioner died  pending Regular  Civil Suit No.51/65 in the Court of the Civil Judge, Senior Division Chandgad. Since he died pending  appeal, it  was dismissed on August 4, 1967 as having abated.  In Civil  Revision No. 632/91 by order dated December 8,  1994, the  High Court  dismissed as  no  proper explanation for  condoning the  delay was  given. Thus, this appeal by special leave. In view of the fact that the appellant is an illiterate farmer, the  appropriate steps should have been taken by the counsel for  the appellant  on proper advice. In view of the fact that the counsel has not properly advised the appellant to take  necessary steps,  delay had  occasioned.  The  High Court, therefore,  was not  right in refusing to condone the delay. It  is brought  to our notice that no application has been filed  for setting  aside the  abatement and the appeal also stands  abated. In  view of the fact that the delay now stands condoned the abatement also stands set aside. The appeal  is accordingly allowed. The appellate Court is directed  to dispose  of the  appeal on  merits within  a period of  six months  from the  date of the receipts of the order. No costs.","This appeal  by special  leave arises from the judgment of the High Court of Bombay,  made  on  December  8, 1994 dismissing the Civil Revision No.632/91. The admitted   position is that the  uncle  of the petitioner died pending Regular Civil Suit No.51/65 in the Court of the Civil Judge, Senior Division Chandgad. Since he died pending  appeal, it was dismissed on August 4, 1967 as having abated.",special leave petitions,48.39
" With W.P. (C) 939/96, 95/97 THE 13TH DAY OF JANUARY, 1998 Present: Hon’ble the Chief Justice Hon’ble Dr. Justice A. S. Anand Hon’ble Mr. Justice B.N.Kirpal Petitioner-in-person. (NP) Mr. Ashok  H.  Desai,  Attorney  General,  Mr.H.N.Salve  and Mr.G.L.Sanghi, Sr.Advocates,  Mr. Mukul  Mudgal, Mr.ADN Rao, Mr.   Wasim   A.Qadri,   Ms.   Niranjana   Singh,   Mr.   P. Parameshwaran, Mr.  Arvind Kumar  Sandeep Narain,  Mr.  R.K. Kapoor, Mr.P.Varma,  Mr. S.K.  Srivastava,  Mr.  Anis  Ahmed Khan, Mr.  S.N. Sikka,  Mr. Vijay Panwani, Mr. Ranjit Kumar, Mr. Kailash  Vasdev, Mr. R. Sasiprabhu, Mr. Manish Garg, Mr. Anees  Ahmed,   Mr.  R.K.Maheshwari,   Mr.   Ashok   Mathur, Mr.V.B.Saharya, Mr.Ejaz Maqbool, Mr.Satish Aggarwal Mr. A.A. Khan, Mr.L.K.Pandey,  Mr. S.L.  Upadhyay,  Mr.  S.R.  Setia, Mr.Sanjay  Parikh,   Mr.  D.K.   Garg  and,  Mr.N.S.  Mehra, Advocates with them for the appearing parties. O R D E R The following Order of the Court was delivered: With W.P.(C) 939/96, 95/97 We have  heard the  learned Attorney  General  and  the learned Amicus  Curiae. The  learned  Attorney  General  has pointed out  that the  ad-hoc Committee  set up  pursuant to this Court’s order dated 13th September, 1996 in IA No.18 in WP (C)  4677 of  1985 headed by Mr. Justice R K Shukla is no longer necessary  after the  constitution of  the  Authority under Section  3(3) of the Environment Protection Act headed by Shri  Bhure Lal  but there may be some matters pertaining to environment  which may  be out  side  the  scope  of  the authority of  the Bhure  Lal Committee and be required to be dealt with  by the  concerned  Statutory  Authority.  It  is submitted that  a clarification to this effect may satisfied that this clarification of our earlier order is necessary. Accordingly, our order of January 7, 1998 shall be read with the following modification/addition: ""In case  there are certain matters which are  outside the scope of the authority of  Bhure  Lal  Committee http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 constituted under  Section 3(3)  of the Environment Protection Act, the same shall  be dealt  with  by  the concerned Statutory Authorities. To avoid any ambiguity in this regard. we  make   it  clear  that  on  the constitution  of   the   Committee, headed by  Shri  Bhure  Lal  as  an authority under  Section 3  (3)  of the   Act,   the   earlier   ad-hoc Committee  headed  by  Mr.  Justice Shukla would cease to exit."" This addition  is to be treated as inserted in internal page 4 of the order dated 7th January, 1998 in the paragraph beginning with  the words  ‘In view of this order’ after the words  ‘Committee   headed  by   sh.  Bhure   Lal   on   its constitution. ’and  before the  sentence beginning  with the words ‘We  also place on record our appreciation of the work done by Mr. Justice R K Shukla.’","Petitioner-in-person Mr. Ashok H. Desai. Attorney General, Mr.H.N.Salve and Mr.G.L.Sanghi. Amicus Curiae Mr. A.A. Khan. Chief Justice Dr. Justice S. Anand.",appointment,23.84
" O R D E R Leave granted. The High  Court of  Karnataka  in  the  impugned  order reversed the  award and  decree of  the Reference  Court and modified the  same to  the extent that the claimants will be entitled to  compensation @  Rs. 9,  160/- per  acre for the irrigated land  and Rs.  8,680/- per  acre for  dry land, as against the  Reference Court’s  award of sum of Rs. 16,950/- and Rs.  9,975/- respectively,  when the  matter had come up for admission,  since  a  batch  of  the  matters  was  then pending, notice  was ordered  in these  matters also and the same was  directed to  be tagged  with them. Since the batch has been disposed of by order dated January 27, 1995 in C.A. arising out  of SLP  [C] Nos.  11963-70/96, this Court while affirming  the   compensation  awarded  by  the  High  Court modified the  judgment and  decree to the extent of awarding benefits  of   enhanced  solatium  and  interest  under  the Amendment Act 68 of 1984. The Court instead granted solatium at 15  per cent  and interest  at 6 per cent on the enhanced compensation from the date of taking possession till date of payment or  deposit, whichever  is earlier.  In these cases, since the  award of the Reference Court itself is of October 23, 1982,  i.e., after the Amendment Act was introduced, the respondents are  entitled to  the benefits  of the  enhanced solatium and interest as granted by the High Court. The appeals are accordingly dismissed. No costs.",The High Court of Karnataka reversed the award and decree of the Reference Court. The Court instead granted solatium at 15 per cent and interest at 6 per cent. The appeals are accordingly dismissed. No costs.,special leave petitions,32.04
" J U D G M E N T With CIVIL APPEAL NO. 7462 of 1997 Krishi Utpadan Mandi Samiti Sahaswan District Badaun through its Secretary                                            Appellants Versus Saidullah @ Saidul & Ors.                                Respondents With CIVIL APPEAL NO. 7464 of 1997 Krishi Utpadan Mandi Samiti Sahaswan District Badaun through its Secretary                                            Appellants Versus Smt. Rashi da Begum & Anr.                               Respondents With CIVIL APPEAL NO. 7465 of 1997 Krishi Utpadan Mandi Samiti Sahaswan District Badaun through its Secretary                                    Appellants Versus Rayazul Haque & Anr.                             Respondents S. N. Variava, J In respect of acquisition by the same notification we have today passed a Judgment in Civil Appeal No. 7463 of 1997 wherein we have fixed market value at Rs.24.64 per sq.yard. In these cases the respondents have led no evidence of any sale instances of comparable lands.  They have relied upon the order passed by the Stamp Officer in case of the respondent in Civil Appeal No. 7463 of 1997 and the valuation fixed by the District Magistrate, Badaun in respect of lands in this area.  As has been set out in detail in the Judgment in Civil Appeal No. 7463 of 1997 valuation cannot be fixed on these basis. Though the respondents have led no evidence as the acquisition is under the same notification, to maintain uniformity, we award the same value as in Civil Appeal No. 7463 of 1997. The Appeals stand disposed of accordingly. There will be no order as to cost. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2",Appellants vs Saidullah @ Saidul & Ors. vs Smt. Rashi da Begum & Anr. Rayazul Haque vs S. N. Variava.,civil,42.33
" JUDGMENT 1994 SUPPL. (3) SCR 259 The following Order of the Court was delivered: Leave granted. This appeal filed by the State of Goa and others, is directed against the judgment and order of the Bombay High Court, (Goa Bench). The respondents made an application for a lease for mining mineral boxite in Mopa, Chandal, Warkhan, Kasarwame Villagers of Pernem Taluk in Goa. As this application was not disposed of by the State Government within 12 months as stipulated in Rule 11 of the Mineral Concession Rules, 1960 the application was deemed to have been rejected. Against this order of deemed rejection the respondents filed a revision under Section 30 of the Mines and Minerals Regulation and Development Act, 1957 (hereinafter referred to as ’the Act’) to the Central Government in which a direction was issued to the State Government to dispose of the respondents’ application on merits. In pursuance of the direction issued by the Central Govern-ment the State Government decided the application of the respondent and rejected it on 18th August 1987. This order was set aside by the High Court and the State Government was directed to decide the application, afresh, after hearing the respondents and deciding the applicability of the amend-ment to the Act which had come into force with effect from 10th February 1987. The application was heard this time by the Commissioner and Secretary for industries to the Government of Goa who being a delegate of State Government by virtue of notification issued under Section 26 of the Act was empowered to decide the application. The application was rejected in exercise of power under sub-section (3) of Section 10 the Act. Against this order the respondents approached the State Government. The order was set aside by the Minister for Mines and direction was issued to grant the lease. What happened thereafter is not necessary to be narrated. But the order of the Minister was set aside by the Government. Validity of this order was challenged in the High Court under Article 226 of the Constitution of India. Various issues were raised. They were decided in favour of the respondents. The order of the Government dated 14.1.1993 was quashed and that of the Minister dated 31.10.1991 was restored. It is the correctness of this order that has been challenged by the State. The appeal has been argued at length. Shri Siraj Sait has attempted to support the judgment with industry and precision. But it does not appear necessary to decide whether the finding recorded by the High Court that the order of Commissioner being administrative in nature it could be reviewed by the State Government nor it is necessary to decide whether the Minister could exercise any power where the grant of lease is regulated by the Statute as in our opinion the remedy of revision having been provided by Section 30 of the Act, the proper course for the respondent was to approach the Central Government and not the High Court. Learned counsel for the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 respondent expressed apprehension that the period for limitation provided in rule 54 of the Minerals Concession Rules, 1960 having expired, the revision might not be entertained. The proviso to the rule, however, empowers the revising authority to condone delay if it is satisfied that the revision could not be presented for sufficient cause within time. Since the respondent was pursuing its remedy in High Court bona fide, it would be sufficient cause to condone the delay and we trust that the revision if preferred within four weeks from today shall not be dismissed as being barred by time. In the result, this appeal succeeds and is allowed. The order of the High Court is set aside subject to the observations made above that the respondent shall be entitled to approach the revising authority, namely, the Central Government within four weeks from today which shall decide the same in accordance with law. Parties shall bear their own costs.","The appeal filed by the State of Goa and others, is directed against the judgment and order of the Bombay High Court, (Goa Bench) The respondents made an application for a lease for mining mineral boxite in Mopa, Chandal, Warkhan, Kasarwame Villagers of Pernem Taluk in Goa. As this application was not disposed of by the. State Government within 12 months as stipulated in Rule 11 of the Mineral Concession. Rules, 1960 the application was deemed to have been rejected.",special leave petitions,23.76
" ORDER 1.The ""Sub-Committee on Judicial Accountability"", a group of members  of the legal profession, has brought this  petition for suo motu initiation of proceedings for criminal contempt against  the respondent.  The matter is stated to arise  out of  a letter dated 21-1-1992 which the respondent  wrote  to the Enquiry Committee constituted under the Judges (Inquiry) Act,  1968  in  certain  proceedings  for  removal  of   the respondent  initiated  by Parliament.  In  this  letter  the respondent is said to have made certain sweeping allegations against  certain Judges and the Judiciary.  A copy  of  that letter is Annexure ’N to the petition. 2.We have heard learned counsel for the petitioner and  have sought  the  assistance  of  Shri  Dipankar  Gupta,  learned Solicitor  General.  We place on record our appreciation  of the  valuable assistance rendered by the learned counsel  on both sides. 3.There  is  a Criminal Miscellaneous Petition No.  2164  of 1992  filed by Shri K.K. Jha, ’Kamal’, Advocate, Patna  High Court,  for intervention.  In our opinion, this  application for intervention is misconceived and is dismissed. 4.Though   the  letter,  read  by  itself,  raises   certain apprehensions  about its propriety, however, the  respondent himself by his subsequent letter dated 28-3-1992, which  has since  been brought on record, has explained the context  in which  it  was  written  and  the  apprehensions  about  the generality  of its sweep stand mitigated.  However, we  feel that  a lot of misunderstanding could have been  avoided  if the  letter  Annexure  ’A: had not  been  written.   We  are unhappy that it came to be written. 5.But,  on a careful consideration of the matter  we,  while expressing our unhappiness about the episode, however  think we  should  decline  in  the larger  interest  to  suo  motu institute   any   proceedings  for  contempt   against   the respondent.  The petition is dismissed accordingly. http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 7","The ""Sub-Committee on Judicial Accountability"", a group of members of the legal profession, has brought this petition for suo motu initiation of proceedings for criminal contempt against the respondent. The matter is stated to arise  out of a letter dated 21-1-1992 which the respondent  wrote to the Enquiry Committee constituted under the Judges (Inquiry) Act, 1968.",criminal,34.27
" J U D G M E N T MARKANDEY KATJU, J. This appeal has been filed against the impugned judgment of the Madras High Court dated 14.2.2002 in O.S.A. No. 275 of 1999. Heard learned counsel for the parties and perused the record. The case of the appellant is that the testator Singaravelu Nayagar executed a will on 24.9.1986 registered as Document no.66 of 1986 on the file of the Sub Registrar, Purasavakkam.  The testator had two daughters viz. Kausalya, the respondent herein (who is the elder daughter) and one Saraswathi.  The appellant is the eldest son of the said Saraswathi.  Apart from the appellant the said Saraswathi has two more sons viz. Gopi and Manohar.  The testator appointed the appellant as executor under the suit will and as such he alleged that is entitled to get the probate. The respondent filed a written statement contending that the will dated 24.9.1986 alleged to have been executed by Singaravelu Nayagar is a forged one and that the testator had executed a will dated 4.11.1982, much earlier to the execution of the will dated 24.9.1986 where under he bequeathed the property at No.16, Manicka Naicken Street, Purasavakkam, Madras, giving equal share to both the daughters. The question involved in this case is a short one i.e. whether the will dated 24.9.1986 executed by Singaravelu Nayagar was a valid one. A learned Single Judge of the High Court by his judgment dated 25.5.1996  held that the will dated 24.9.1986 was genuine and was not a forged one.  The learned Single Judge took into consideration various factors e.g. that the testator himself presented the will for execution, and there was a dispute between the testator and his elder daughter and hence he wanted to bequeath his properties to his second daughter and the sons born to her, etc.. In appeal the Division Bench of the Madras High Court set aside the judgment of the learned Single Judge but without a proper consideration of the various facts and circumstances of the case mentioned by the learned Single Judge in his very elaborate judgment. The Division Bench was evidently influenced by the fact that the elder daughter was deprived of her share in her father’s property. However, the Division Bench has not taken into consideration the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 various considerations which according to learned Single Judge motivated the testator to deprive his elder daughter, the respondent herein. No doubt the Division Bench could have reversed the judgment of the learned Single Judge but it should have done so after considering inter alia the various factors which persuaded the learned Single Judge to decide in favour of the appellant herein.  Since the Division Bench has not done so we are of the opinion that the judgment of the Division Bench cannot be sustained and it is hereby set aside.  The matter is remanded to the Division Bench for a fresh decision after considering inter alia the various facts and circumstances of the case referred to by the learned Single Judge and also the evidence and the various case law on the point. The Division Bench may consider the desirability of an early disposal of the case since it is pending for a long time.  The appeal is allowed.  No order as to costs.","This appeal has been filed against the impugned judgment of the Madras High Court dated 14.2.2002 in O.S.A. No. 275 of 1999. The case of the appellant is that the testator Singaravelu Nayagar executed a will on 24.9.1986 registered as Document no.66 of 1986 on the file of the Sub Registrar, Purasavakkam. A learned Single Judge of the High Court by his judgment dated 25.5.1996 held that the will dated 24. 9.1986 was genuine and was not a forged one.",appointment,46.2
" Y.K.SABHARWAL J. The appellant has been convicted for the offence under Section 302/34 I.P.C.  by Court of Sessions and sentenced to undergo  life imprisonment.  The conviction and sentence has been  confirmed by the High Court in appeal.  The conviction is  based mainly on the testimony of two eye witnesses  PW-2 and  PW-3.   The incident took place at about 9.00 P.M.   on 21st  March, 1992.  The appellant is said to have given  5/6 dagger  blows  to deceased Triveni when Triveni  was  caught hold  by  Jaleshwar  and Jogender.  These  two  persons  are absconding and, therefore, they could not be prosecuted.  On learning  that his son was being assaulted, PW 2, Dipu  Gope the  informant  went  to  place of  occurrence  and  on  way deceased Triveni joined him.  When they reached the place of occurrence,  Triveni  asked about the son of PW-2  whereupon Triveni was taken to nearby pipul tree and the aforesaid two persons caught hold of Triveni and the applicant gave dagger blows  as earlier stated.  Triveni succumbed to the injuries and  died  on the spot.  The other eye witness PW-3  is  the person  with whom son of PW-2 was taking liquor when he  was assaulted  on  outraging modesty of the wife  of  Jaleshwar. PW-3  has  also  stated to have witnessed  the  incident  of stabbing by the appellant. The  appellant  has  not  been   able  to  shake   the credibility of the eye-witnesses.  No material contradiction in  the case of the prosecution has been shown to us.  Under these  facts  and circumstances, the non-examination of  the Investigating Officer as a witness is of no consequence.  It has  not  been shown what prejudice has been caused  to  the appellant by such non-examination. From  the  evidence  on record it stands  proved  that there  was  sufficient light at the place of  occurrence  to identify  the  appellant.  We are also unable to accept  the contention  of  learned counsel for the appellant  that  the conviction  deserves to be converted to be one under Section 304 I.P.C either Part-I or Part-II thereof because there was no  pre-meditation.   The pre-meditation can develop on  the spot   as  well.   It  all   depends  upon  the  facts   and circumstances  of  the  case.   In  the  present  case,  the deceased  was  given  5/6  dagger blows.   In  view  of  the http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 evidence  on  record  the   contention  for  converting  the sentence as aforesaid cannot be accepted. We  find  no infirmity in the impugned judgment.   The appeal is, therefore, dismissed.",The appellant has been convicted for the offence under Section 302/34 I.P.C.  by Court of Sessions and sentenced to undergo  life imprisonment. The conviction and sentence has been confirmed by the High Court in appeal. The appellant is said to have given  5/6 dagger blows  to deceased Triveni when he was caught hold by Jaleshwar and Jogender.,criminal,26.21
" O R D E R Appeals are taken on board. These appeals by special arise from the judgment of the Bombay High  Court, Panaji  Bench made  on March 31, 1995 in C.W.P. No.398/94  and batch. The facts relate to the dispute raised by  the respondents  for two  bills, one for a sum of Rs.99,196/- and  the other  for Rs.71,280/-.  The appellant- Union  of   India  has   taken  the  stand  that  under  the Administrative Instructions issued by it, the dispute cannot be referred  unless the  subscriber approaches the Court and the  Court   gives  the  direction  for  appointment  of  an arbitrator under  Section 7B  of the  Indian Telegraphs Act. Section 7B reads as under : ""7-B Arbitration  of Disputes :-(1) Except   as   otherwise   expressly provided  in   this  Act,   if  any dispute  concerning  any  telegraph and  telegraph  authority  and  the person for  whose benefit the line, appliance or  apparatus, is, or has been, provided,  the dispute  shall be determined  by  arbitration  and shall, for  the  purposes  of  such determination, be  referred  to  an arbitrator appointed by the Central Government either specially for the determination of  that  dispute  or generally for  the determination of disputes under this section. (2) The  award  of  the  arbitrator appointed  under   sub-section  (1) shall  be  conclusive  between  the parties to  the dispute  and  shall not be questioned in any court."" A reading  thereof would  indicate that  if any dispute http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 concerning any telegraph line, appliance or apparatus arises between the  telegraph authority  and the  person for  whose benefit the  line, appliance  or apparatus  is, or  has been provided, the  dispute shall be determined by an arbitrator. Such  determination  shall  be  referred  to  an  arbitrator appointed by  the Central Government either specifically for the determination  of  the  dispute  or  generally  for  the determination of  dispute under  this section.  The award of the arbitrator  shall be  conclusive between  the parties to the  dispute   and  its  correctness  is  prohibited  to  be questioned in  a court of law. It would, otherwise, be clear that any  dispute regarding the billing of the refer and the liability on  a subscriber  thereon when  its correctness is disputed, should  be  referred  to  the  arbitrator  by  the Central Government.  The arbitrator’s  award shall be final. In a recent judgment, considering the provisions of the Act, this Court has explained that when the arbitrator’s award is final, it  would be  subject to  only judicial  review.  The judicial review  by the  High Court  or this  Court would be possible only  when the  arbitrator gives reasons in support of the conclusions he reaches. Be it technical or on factual basis. The  Administrative Instructions  issued by the Union of India  that the dispute shall be referred only when there is a  reference by the Court is obviously in defiance of the language used  in Section 7B. The power to refer the dispute has been  given by  the Parliament  only with  a view to see that the  authority acts  within reasonable  limits and that when  subscriber  disputes  the  correctness  of  the  meter reading or  operation  of  the  apparatus  etc.  instead  of litigating the dispute in a civil Court, it should be denied by arbitrator  under Section  7B. Obviously, the Act intends to limit  operation expeditiously without any undue delay so that the  electrical operation,  envisaged  under  the  Act, recorded to  be one  of the  public revenue,  should not  be postponed due  to the  pendency of  the  proceedings.  Under those circumstances,  we are of the view that the High Court is right  in directing  that the  authority under the Act is enjoined to  make reference  under Section  7B  without  any direction by  the Court  and  if  need  be  it  is  for  the subscriber to approach the Court. The  appeals   are  accordingly  dismissed  with  above directions. No costs.","These appeals by special arise from the judgment of the Bombay High Court, Panaji Bench made  on March 31, 1995 in C.W.P. No.398/94. The facts relate to the dispute raised by the respondents for two bills, one for a sum of Rs.99,196/- and the other for Rs.71,280/-. The appellant- Union of India has taken the stand that under the Administrative Instructions issued by it, the dispute cannot be referred.",appointment,21.78
" ORDER 1.   Special leave granted. 2.   We have today pronounced judgment in Union of India  v. Rajiv  Yadav,  IAS1.   The  appeal  has  been  allowed,  the impugned judgment of the Central Administrative Tribunal has been set aside and the principles of ""cadre allocation""  for reserved candidates have been upheld. 3.   In  view  of our judgment in Rajiv Yadav  case  1  this appeal  by  the Union of India has to be allowed.   For  the reasons  given and the conclusions reached by, us  in  Rajiv Yadav  case1, we allow this appeal, set aside  the  impugned judgment  of the tribunal dated 10-12-1992 and  dismiss  the application filed by Shankar Jiwal before the tribunal.   No costs. + Arising out of SLP (C) No. 4259 of 1993 ++ Arising out of SLP (C) No. 4360 of 1993 48","The impugned judgment of the Central Administrative Tribunal has been set aside. The principles of ""cadre allocation"" for reserved candidates have been upheld.",special leave petitions,58.28
" O R D E R This appeal  by special  leave arises from the judgment of the  learned single  Judge of  the Punjab  & Haryana High Court, Chandigarh, made on July 11, 1985 in SA No.2830/80. The admitted  facts are  that  the  respondents  Rattan Singh  &  Daulat  Singh  were  brothers.  Daulat  Singh  had executed a will on January 11, 1974 under Ex. PA bequeathing his property  to Rattan  Singh who died on January 19, 1974. It would appear that the appellant is a predecessor-in title of his  sister, Dayal  Kaur. Rattan Singh & Daulat Singh had three sisters  by name  Rallo, Dayal  Kaur and  Inder  Kaur. Dayal Kuar got mutated the properties to the extant of 1/3rd share to  each of  the sister  in the  mutation proceedings. subsequently, the  respondents filed  a suit for declaration on the  basis of  the will.  The trial  Court dismissed  the suit. On appeal, it was confirmed. As stated earlier, in the second appeal, the High court allowed the appeal and decreed the suit as prayed for, Thus this appeal by special leave. Leraned counsel  for the  appellant has  contended that the High  Court could  not interfere  under Section 100, CPC since the  suspicious features  of the will are questions of facts.  The   trial  Court   and  the  appellate  Court  had considered the  suspicious feature  and were not inclined to interfere. It  is the  duty of the propounder of the Will to establish that  Will was  validly executed  removing all the suspicious features  satisfying conscience  of the Court. In that behalf, the high Court was not justified in interfering in the second appeal as there was on substantial question of law for  decision under  Section 100 CPC. It is seen that it is an admitted position that Rattan Singh, on coming to know that his  brother was  unwell, had gone from Calcutta to see him. After  his coming, the Will came to be executed and the execution of  the Will  also  was  not  disputed.  The  only question is:  whether the  Will came  to be  executed in the normal cirumstances?  The courts below relied heavily on two suspicious features,  namely, the  Will was  not produced at the earliest  point of them, it was produced sometime before the trial.  secondly, the  at testators  were disbelieved on two  grounds,  namely,  that  Hari  Singh,  one  of  the  at testators had  not disclosed  that the Will was not executed http://JUDIS.NIC.IN SUPREME COURT OF INDIA Page 2 of 2 when the  mutation was  effected in  his presence.  The High Court has  explained that  the  mutation  was  not  properly removed and  that there  was no  reason to  disbelieve  that fact. The High Court had perused the original as well as the photocopy of  the will  produced in  the trial  Court in the first instance.  The High  Court has  found that there is no interpolation in the original Will. Therefore, the rejection of the  evidence of the attestaor, Hari Singh’s evidence was found to  be not  correct. As  regards the other attestator- witness, by  name Gurdev  Singh, It  was disbelieved  on the ground that  he filed  a suit  in a  litigation against Jeet Singh. It  was hardly a ground to disbelieve the evidence of the attestator’s  evidence. Under  these circumstances, when the courts below had rejected and disbelieve the evidence on the ground  that the  propounder had not properly discharged his duty,  it is  the duty  of the  High Court  to  consider whether  the   reasons  given   by  the  courts  below  were sustainable in  law. In  view of  the above reasoning of the trial Court  as affirmed by the appellate Court, necessarily the High Court requires to go into that question to test the reasons. in  this perspective,  the High  Court has  rightly gone into  that question and found that the reasons given by the courts  below are  flimsy.  Thus  there  is  substantial question of  law that  has arisen  for consideration and the High Court  has rightly  considered  the  question.  We  are entirely agree with the High Court. The appeal is dismissed. No costs.","Daulat Singh executed a will on January 11, 1974 under Ex. PA bequeathing his property to Rattan Singh who died on January 19, 1974. Dayal Kuar got mutated the properties to the extant of 1/3rd share to each of the sister in the mutation proceedings. The respondents filed a suit for declaration on the basis of the will. The trial Court dismissed the suit. On appeal, it was confirmed.",special leave petitions,33.29
" JUDGMENT O  R  D  E  R CIVIL APPEAL NO.5147 OF 2002 After hearing learned counsel for the appellant and going through the impugned judgm ent and other materials on record, we do not find any ground to interfere with the concurrent fi nding of facts of the courts below.  In our view, this case is clearly hit by the provisions of Se ction 4 of the Karnataka Scheduled Castes and Scheduled Tribes (Prohibition of Transfer of certain land s) Act, 1978.  The appeal is accordingly dismissed.  There shall be no order as to costs.","We do not find any ground to interfere with the concurrent fi nding of facts of the courts below. In our view, this case is clearly hit by the provisions of Se ction 4 of the Karnataka Scheduled Castes and Scheduled Tribes Act, 1978. The appeal is accordingly dismissed. There shall be no order as to costs.",civil,82.56
